User ID,Age,Gender,Height,Looking For,Children,Education Level,Occupation,Frequency of Usage
1,30,Male,5.2,Casual Dating,No,High School,Engineer/Student,Weekly
2,27,Female,4.9,Casual Dating,Yes,Master's Degree,Artist,Monthly
3,29,Female,5.8,Casual Dating,No,Bachelor's Degree,Social Media Influencer,Daily
4,29,Female,5.1,Marriage,No,Ph.D.,Doctor,Daily
5,32,Male,6.0,Marriage,Yes,Ph.D.,Engineer/Student,Monthly
6,25,Female,5.2,Marriage,Yes,Master's Degree,Engineer/Student,Monthly
7,27,Female,5.7,Marriage,No,Master's Degree,Engineer/Student,Monthly
8,21,Male,5.1,Marriage,Yes,Bachelor's Degree,Teacher,Daily
9,33,Female,5.4,Casual Dating,Maybe,High School,Social Media Influencer,Monthly
10,26,Female,6.0,Marriage,No,Ph.D.,Teacher,Weekly
11,27,Female,4.9,Casual Dating,Maybe,Master's Degree,Teacher,Weekly
12,20,Female,5.8,Casual Dating,Yes,Ph.D.,Business Owner,Monthly
13,33,Female,5.6,Casual Dating,Yes,Bachelor's Degree,Teacher,Weekly
14,25,Female,5.4,Casual Dating,Yes,High School,Entrepreneur,Monthly
15,20,Male,5.5,Casual Dating,No,Bachelor's Degree,Engineer/Student,Monthly
16,30,Female,5.9,Marriage,Maybe,Bachelor's Degree,Artist,Monthly
17,27,Male,6.0,Casual Dating,Yes,Bachelor's Degree,Engineer/Student,Weekly
18,29,Male,5.6,Marriage,No,Master's Degree,Doctor,Daily
19,31,Male,5.2,Marriage,Yes,Master's Degree,Business Owner,Daily
20,24,Female,5.2,Casual Dating,Yes,Ph.D.,Entrepreneur,Daily
21,31,Male,5.3,Casual Dating,Maybe,Bachelor's Degree,Engineer/Student,Weekly
22,27,Female,5.4,Casual Dating,Maybe,Master's Degree,Doctor,Weekly
23,22,Male,5.4,Casual Dating,No,Bachelor's Degree,Artist,Daily
24,31,Female,5.3,Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,Daily
25,24,Female,6.0,Casual Dating,No,Master's Degree,Entrepreneur,Monthly
26,29,Female,5.6,Casual Dating,Maybe,High School,Business Owner,Monthly
27,32,Male,5.4,Casual Dating,Maybe,Master's Degree,Engineer/Student,Monthly
28,20,Female,5.8,Marriage,Maybe,High School,Doctor,Daily
29,19,Female,5.7,Marriage,Yes,Ph.D.,Artist,Weekly
30,32,Male,6.1,Casual Dating,Yes,Bachelor's Degree,Entrepreneur,Monthly
31,18,Female,5.3,Marriage,Maybe,Ph.D.,Artist,Weekly
32,30,Male,4.9,Casual Dating,Yes,Ph.D.,Engineer/Student,Weekly
33,20,Female,5.7,Casual Dating,No,Master's Degree,Teacher,Monthly
34,21,Male,5.1,Casual Dating,Yes,Ph.D.,Entrepreneur,Weekly
35,25,Male,5.7,Marriage,No,Ph.D.,Engineer/Student,Weekly
36,19,Male,5.4,Casual Dating,No,Ph.D.,Business Owner,Daily
37,24,Male,4.9,Casual Dating,Yes,Master's Degree,Teacher,Monthly
38,26,Female,6.0,Marriage,No,Bachelor's Degree,Entrepreneur,Weekly
39,24,Female,5.7,Casual Dating,Yes,Ph.D.,Entrepreneur,Weekly
40,19,Male,5.9,Casual Dating,Maybe,High School,Social Media Influencer,Daily
41,24,Female,5.2,Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,Monthly
42,35,Male,5.9,Marriage,Yes,Bachelor's Degree,Artist,Monthly
43,31,Female,5.2,Casual Dating,Yes,High School,Artist,Weekly
44,34,Male,6.0,Marriage,No,Master's Degree,Doctor,Daily
45,23,Male,6.0,Casual Dating,Yes,High School,Engineer/Student,Weekly
46,20,Female,5.6,Marriage,No,Bachelor's Degree,Teacher,Daily
47,33,Female,5.3,Marriage,Maybe,High School,Engineer/Student,Daily
48,30,Male,5.3,Casual Dating,No,High School,Artist,Weekly
49,30,Male,5.4,Casual Dating,No,High School,Engineer/Student,Daily
50,26,Female,6.0,Marriage,Yes,Bachelor's Degree,Doctor,Weekly
51,33,Male,5.4,Marriage,Yes,Bachelor's Degree,Entrepreneur,Monthly
52,35,Male,5.6,Marriage,No,High School,Doctor,Monthly
53,18,Male,6.1,Casual Dating,Maybe,Ph.D.,Teacher,Monthly
54,27,Male,5.6,Marriage,No,Master's Degree,Engineer/Student,Monthly
55,28,Female,4.9,Marriage,Yes,High School,Artist,Daily
56,18,Female,5.2,Casual Dating,Maybe,Master's Degree,Doctor,Daily
57,28,Female,5.3,Casual Dating,No,High School,Entrepreneur,Daily
58,33,Female,5.7,Casual Dating,Yes,Ph.D.,Doctor,Daily
59,34,Female,5.3,Casual Dating,Yes,Ph.D.,Artist,Monthly
